"year" "y"
"1" 1957 126
"2" 1958 44
"3" 1959 27
"4" 1960 45
"5" 1961 19
"6" 1962 58
"7" 1963 14
"8" 1964 16
"9" 1965 21
"10" 1966 31
"11" 1967 51
"12" 1968 37
"13" 1969 66
"14" 1970 35
"15" 1971 29
"16" 1972 36
"17" 1973 63
"18" 1974 90
"19" 1975 50
"20" 1976 56
"21" 1977 103
"22" 1978 73
"23" 1979 121
"24" 1980 52
"25" 1981 53
"26" 1982 68
"27" 1983 78
"28" 1984 85
"29" 1985 70
"30" 1986 76
"31" 1987 66
"32" 1988 61
"33" 1989 64
"34" 1990 66
"35" 1991 43
"36" 1992 53
"37" 1993 22
"38" 1994 43
"39" 1995 81
"40" 1996 55
"41" 1997 51
"42" 1998 44
"43" 1999 20
"44" 2000 64
"45" 2001 22
"46" 2002 10
"47" 2003 37
"48" 2004 60
"49" 2005 36
"50" 2006 61
"51" 2007 74
"52" 2008 36
"53" 2009 57
