lake x y coexist elev catcharea lakearea maxdepth species temp1 temp2 temp3
13470 1298500 6601210 0 264 6.16 0.19 14 4 5.65 8.50 10.41
13740 1298000 6606450 0 260 4.97 0.042 16 2 5.65 8.50 10.41
31749 1377100 6396350 0 317 9.34 0.9333 9.9 8 5.89 8.69 10.59
37203 1292760 6517360 0 164 2.27 0.1929 17 6 6.52 9.35 11.19
16689 1393210 6651440 0 304 14.79 1.4012 13.2 5 4.5 7.39 9.31
13832 1298660 6606600 0 263 3.6 0.067 19 2 5.65 8.50 10.41
15527 1323030 6638880 0 161 7.54 0.2227 8 5 4.67 7.52 9.43
14768 1284900 6626940 0 218 4.16 0.1524 27 3 5.65 8.50 10.41
64387 1534540 7004290 0 388 2.57 0.443 24 9 3.04 5.80 7.73
16423 1451600 6663300 0 289 3.68 0.0872 8 4 4.79 7.74 9.68
98812 1664410 7071130 0 244 0.16 0.0103 4 2 3.08 6.03 7.93
527 1510960 6921640 0 354 5.19 0.1841 15 4 3.32 6.11 8.12
89548 1655510 7087910 0 222 0.27 0.0092 4 3 2.51 5.40 7.29
24753 1416600 6789550 0 339 22.32 0.815 9 2 2.87 5.63 7.63
22474 1314990 6741400 0 292 41.22 0.18 12 2 3.09 5.87 7.89
39856 1321120 6593840 0 131 13.56 0.47 12.5 3 5.46 8.39 10.36
14306 1284570 6627860 0 175 29.44 0.3845 9.7 7 5.65 8.50 10.41
17023 1336850 6656800 0 156 13.2 1.4 19 6 4.67 7.52 9.43
15011 1334320 6646680 0 199 16.28 1.1179 38 10 4.67 7.52 9.43
58017 1522120 6937760 0 236 19.83 0.3867 15.8 4 3.05 5.79 7.75
22006 1329710 6710200 0 362 32.84 0.9796 8.6 4 3.91 6.72 8.67
22629 1473240 6740680 0 282 10.86 0.65 13 6 3.74 6.66 8.68
88952 1643130 7093960 0 314 0.74 0.1584 10 2 2.51 5.40 7.29
22162 1327070 6713860 0 377 5.26 0.175 13 2 3.91 6.72 8.67
89424 1641870 7089780 0 307 0.24 0.0407 8 4 2.51 5.40 7.29
98214 1633560 7059930 0 254 6.55 0.11 10 1 3.08 6.03 7.93
22573 1471750 6738890 0 274 24.1 2.98 45 14 3.74 6.66 8.68
13570 1298590 6602080 0 267 5.38 1.08 18 4 5.65 8.50 10.41
17832 1330340 6668560 0 257 38.96 0.1774 18 5 4.67 7.52 9.43
18423 1332890 6704210 0 96 18.4 0.96 22 3 3.91 6.72 8.67
22499 1314600 6743970 0 315 33.57 0.4 12 4 3.09 5.87 7.89
78184 1634220 7124600 0 414 3.98 0.0455 5 3 2.51 5.40 7.29
255 1513130 6767470 0 307 53.68 2.8531 9.6 7 4.37 7.29 9.26
22674 1313490 6739810 0 278 9.4 0.33 9 2 3.09 5.87 7.89
354 1439830 6832800 0 479 12.7 0.0998 11.3 4 2.43 5.18 7.19
19143 1325060 6693010 0 363 1.99 0.1713 16.1 3 3.91 6.72 8.67
18638 1332910 6702520 0 327 88.21 0.97 6.6 3 3.91 6.72 8.67
39788 1323010 6592620 0 225 0.63 0.028 16 3 5.46 8.39 10.36
78911 1719810 7138790 0 240 6.3 0.1394 10 1 2.46 5.44 7.31
18929 1321800 6691720 0 350 1.44 0.0899 9.5 4 3.91 6.72 8.67
39764 1321610 6592410 0 162 8.43 1.11 19 3 5.46 8.39 10.36
39961 1319530 6590710 0 184 1.69 0.44 30 3 5.46 8.39 10.36
78667 1717680 7139770 0 271 1.75 0.0434 8 1 2.46 5.44 7.31
109134 1323900 6640250 0 193 3.58 0.003 2 3 4.67 7.52 9.43
17669 1319540 6669000 0 279 57.52 0.308 20.9 6 4.67 7.52 9.43
