"Max Temperature, Min Temperature, Average Temperature, Error, Precipitation, Snowfall, Error, Heating Degree Days, Cooling Degree Days, Error Daily Lister (2022-01-01 - 2023-04-01), Stn: 12960"

Station:,HOUSTON INTERCONTINENTAL AP,State:,TX,ID:,12960
Latitude:,29.98438 degreeN,Longitude:,95.36072 degreeW,Elevation:,90.0 feet
Station period of record:,maxt: 06/01/1969-04/12/2023; mint: 06/01/1969-04/12/2023; avgt: 06/01/1969-04/12/2023; obst: null; pcpn: 06/01/1969-04/12/2023; snow: 06/01/1969-04/12/2023; snwd: 06/01/1969-04/12/2023; hdd: 06/01/1969-04/12/2023; cdd: 06/01/1969-04/12/2023; evap: null

Date,maxt,mint,avgt,obst,pcpn,snow,snwd,hdd,cdd,evap
2022-01-01,85,66,75.5,M,T,0.0,0,0,11,M
2022-01-02,68,31,49.5,M,0.01,0.0,0,15,0,M
2022-01-03,54,31,42.5,M,0.00,0.0,0,22,0,M
2022-01-04,66,36,51.0,M,0.00,0.0,0,14,0,M
2022-01-05,77,47,62.0,M,0.00,0.0,0,3,0,M
2022-01-06,72,44,58.0,M,0.00,0.0,0,7,0,M
2022-01-07,51,37,44.0,M,0.00,0.0,0,21,0,M
2022-01-08,75,51,63.0,M,2.43,0.0,0,2,0,M
2022-01-09,75,55,65.0,M,3.87,0.0,0,0,0,M
2022-01-10,60,42,51.0,M,0.00,0.0,0,14,0,M
2022-01-11,58,38,48.0,M,T,0.0,0,17,0,M
2022-01-12,62,47,54.5,M,T,0.0,0,10,0,M
2022-01-13,72,43,57.5,M,0.00,0.0,0,7,0,M
2022-01-14,75,43,59.0,M,0.00,0.0,0,6,0,M
2022-01-15,62,37,49.5,M,T,0.0,0,15,0,M
2022-01-16,58,34,46.0,M,0.00,0.0,0,19,0,M
2022-01-17,67,32,49.5,M,0.00,0.0,0,15,0,M
2022-01-18,74,42,58.0,M,0.00,0.0,0,7,0,M
2022-01-19,80,53,66.5,M,1.95,0.0,0,0,2,M
2022-01-20,53,36,44.5,M,0.03,0.0,0,20,0,M
2022-01-21,51,35,43.0,M,0.02,0.0,0,22,0,M
2022-01-22,56,30,43.0,M,0.00,0.0,0,22,0,M
2022-01-23,60,34,47.0,M,0.00,0.0,0,18,0,M
2022-01-24,53,47,50.0,M,0.39,0.0,0,15,0,M
2022-01-25,60,47,53.5,M,0.00,0.0,0,11,0,M
2022-01-26,57,38,47.5,M,0.00,0.0,0,17,0,M
2022-01-27,64,39,51.5,M,0.00,0.0,0,13,0,M
2022-01-28,60,42,51.0,M,0.00,0.0,0,14,0,M
2022-01-29,63,32,47.5,M,0.00,0.0,0,17,0,M
2022-01-30,69,39,54.0,M,0.00,0.0,0,11,0,M
2022-01-31,63,46,54.5,M,0.72,0.0,0,10,0,M
2022-02-01,67,57,62.0,M,T,0.0,0,3,0,M
2022-02-02,71,49,60.0,M,0.08,0.0,0,5,0,M
2022-02-03,48,30,39.0,M,0.31,0.0,0,26,0,M
2022-02-04,33,27,30.0,M,0.00,0.0,0,35,0,M
2022-02-05,53,27,40.0,M,0.00,0.0,0,25,0,M
2022-02-06,60,27,43.5,M,0.00,0.0,0,21,0,M
2022-02-07,64,41,52.5,M,0.00,0.0,0,12,0,M
2022-02-08,65,34,49.5,M,0.00,0.0,0,15,0,M
2022-02-09,71,36,53.5,M,0.00,0.0,0,11,0,M
2022-02-10,72,40,56.0,M,0.00,0.0,0,9,0,M
2022-02-11,74,41,57.5,M,0.00,0.0,0,7,0,M
2022-02-12,60,37,48.5,M,0.05,0.0,0,16,0,M
2022-02-13,61,30,45.5,M,0.00,0.0,0,19,0,M
2022-02-14,69,35,52.0,M,0.00,0.0,0,13,0,M
2022-02-15,72,41,56.5,M,0.00,0.0,0,8,0,M
2022-02-16,78,60,69.0,M,0.06,0.0,0,0,4,M
2022-02-17,80,41,60.5,M,0.45,0.0,0,4,0,M
2022-02-18,58,36,47.0,M,0.00,0.0,0,18,0,M
2022-02-19,67,35,51.0,M,0.00,0.0,0,14,0,M
2022-02-20,66,46,56.0,M,T,0.0,0,9,0,M
2022-02-21,83,61,72.0,M,0.04,0.0,0,0,7,M
2022-02-22,78,64,71.0,M,T,0.0,0,0,6,M
2022-02-23,64,37,50.5,M,T,0.0,0,14,0,M
2022-02-24,47,38,42.5,M,T,0.0,0,22,0,M
2022-02-25,46,38,42.0,M,0.10,0.0,0,23,0,M
2022-02-26,43,40,41.5,M,0.14,0.0,0,23,0,M
2022-02-27,62,40,51.0,M,0.00,0.0,0,14,0,M
2022-02-28,68,36,52.0,M,0.00,0.0,0,13,0,M
2022-03-01,73,37,55.0,M,0.00,0.0,0,10,0,M
2022-03-02,74,40,57.0,M,0.00,0.0,0,8,0,M
2022-03-03,77,50,63.5,M,0.00,0.0,0,1,0,M
2022-03-04,76,52,64.0,M,T,0.0,0,1,0,M
2022-03-05,82,66,74.0,M,0.00,0.0,0,0,9,M
2022-03-06,82,70,76.0,M,T,0.0,0,0,11,M
2022-03-07,73,50,61.5,M,0.07,0.0,0,3,0,M
2022-03-08,51,43,47.0,M,0.10,0.0,0,18,0,M
2022-03-09,60,42,51.0,M,0.00,0.0,0,14,0,M
2022-03-10,74,40,57.0,M,0.00,0.0,0,8,0,M
