Date,maxt,mint,avgt,obst,pcpn,snow,snwd,hdd,cdd,evap
1/1/2022,53,14,33.5,M,0.17,0.8,0,31,0,M
1/2/2022,38,8,23,M,0,0,1,42,0,M
1/3/2022,52,19,35.5,M,0,0,T,29,0,M
1/4/2022,68,27,47.5,M,0,0,0,17,0,M
1/5/2022,53,30,41.5,M,0,0,0,23,0,M
1/6/2022,44,15,29.5,M,0,0,0,35,0,M
1/7/2022,53,17,35,M,0,0,0,30,0,M
1/8/2022,74,32,53,M,0,0,0,12,0,M
1/9/2022,54,27,40.5,M,0,0,0,24,0,M
1/10/2022,55,20,37.5,M,0,0,0,27,0,M
1/11/2022,56,25,40.5,M,0,0,0,24,0,M
1/12/2022,68,24,46,M,0,0,0,19,0,M
1/13/2022,70,27,48.5,M,0,0,0,16,0,M
1/14/2022,73,35,54,M,0,0,0,11,0,M
1/15/2022,45,21,33,M,0,0,0,32,0,M
1/16/2022,68,19,43.5,M,0,0,0,21,0,M
1/17/2022,63,22,42.5,M,0,0,0,22,0,M
1/18/2022,71,37,54,M,0,0,0,11,0,M
1/19/2022,47,26,36.5,M,0,0,0,28,0,M
1/20/2022,28,19,23.5,M,0,0,0,41,0,M
1/21/2022,47,16,31.5,M,0,0,0,33,0,M
1/22/2022,49,18,33.5,M,0,0,0,31,0,M
1/23/2022,57,20,38.5,M,0,0,0,26,0,M
1/24/2022,64,24,44,M,0,0,0,21,0,M
1/25/2022,52,25,38.5,M,0,0,0,26,0,M
1/26/2022,30,23,26.5,M,0.03,0.2,0,38,0,M
1/27/2022,50,21,35.5,M,0,0,T,29,0,M
1/28/2022,53,19,36,M,0,0,0,29,0,M
1/29/2022,64,19,41.5,M,0,0,0,23,0,M
1/30/2022,60,18,39,M,T,0,0,26,0,M
1/31/2022,66,28,47,M,0,0,0,18,0,M
2/1/2022,56,37,46.5,M,0,0,0,18,0,M
2/2/2022,38,13,25.5,M,0.07,0.7,0,39,0,M
2/3/2022,17,9,13,M,0.05,0.9,2,52,0,M
2/4/2022,40,-1,19.5,M,0,0,T,45,0,M
2/5/2022,52,12,32,M,0,0,0,33,0,M
2/6/2022,55,20,37.5,M,0,0,0,27,0,M
2/7/2022,55,18,36.5,M,0,0,0,28,0,M
2/8/2022,68,26,47,M,0,0,0,18,0,M
2/9/2022,64,23,43.5,M,0,0,0,21,0,M
2/10/2022,62,31,46.5,M,0,0,0,18,0,M
2/11/2022,67,35,51,M,0,0,0,14,0,M
2/12/2022,46,28,37,M,T,T,0,28,0,M
2/13/2022,61,20,40.5,M,0,0,0,24,0,M
2/14/2022,71,28,49.5,M,0,0,0,15,0,M
2/15/2022,77,39,58,M,0,0,0,7,0,M
2/16/2022,76,47,61.5,M,T,0,0,3,0,M
2/17/2022,60,24,42,M,0,0,0,23,0,M
2/18/2022,58,20,39,M,0,0,0,26,0,M
2/19/2022,62,27,44.5,M,0,0,0,20,0,M
2/20/2022,76,39,57.5,M,0,0,0,7,0,M
2/21/2022,75,45,60,M,0.01,0,0,5,0,M
2/22/2022,57,19,38,M,0,0,0,27,0,M
2/23/2022,26,14,20,M,T,T,0,45,0,M
2/24/2022,52,15,33.5,M,T,T,0,31,0,M
2/25/2022,35,17,26,M,0,0,0,39,0,M
2/26/2022,50,15,32.5,M,0,0,0,32,0,M
2/27/2022,58,15,36.5,M,0,0,0,28,0,M
2/28/2022,64,25,44.5,M,0,0,0,20,0,M
3/1/2022,69,33,51,M,0,0,0,14,0,M
3/2/2022,74,35,54.5,M,0,0,0,10,0,M
3/3/2022,77,34,55.5,M,0,0,0,9,0,M
3/4/2022,79,49,64,M,0,0,0,1,0,M
3/5/2022,73,47,60,M,0,0,0,5,0,M
