id	i	N0	N1	L0	L1	d
1	1	6	6	27.8	39.4	45
2	2	5	5	27.8	47.2	79
3	3	121	119	7.8	22.1	45
4	4	88	84	7.9	25.4	31
5	5	150	127	8.2	20.0	56
6	6	104	67	7.6	23.0	67
7	7	6	4	27.8	43.5	127
8	8	7	6	27.8	45.2	127
9	9	6	6	27.8	45.5	127
10	10	6	6	27.8	46.2	127
11	11	6	6	27.8	42.8	127
12	12	6	6	27.8	44.3	127
13	13	6	5	27.8	43.0	127
14	14	6	6	27.8	42.5	127
15	15	6	6	27.8	44.3	127
16	16	6	5	27.8	44.0	127
17	17	6	6	29.7	46.3	112
18	18	6	5	29.2	43.4	112
19	19	6	5	29.2	44.2	112
20	20	6	5	26.5	44.6	114
21	21	6	6	25.3	46.2	114
22	22	6	5	26.3	44.6	114
23	23	6	5	25.3	41.2	114
24	24	6	5	25.5	43.8	114
25	25	6	5	24.7	42.8	114
26	26	6	4	25.3	42.8	114
27	27	6	6	24.7	45.2	114
28	28	6	6	26.8	43.2	114
29	29	6	6	25.0	45.2	114
30	30	6	5	26.0	43.0	114
31	31	6	6	24.3	44.2	114
32	32	23	23	19.3	21.8	43
